id,equipment_serial,assigned_to,assigned_by,assignment_type,scheduled_date,scheduled_time,status,priority_level,notes,started_at,completed_at,cancelled_at,created_at,updated_at
009d4fbf-b8c9-4b75-a755-b7bbfd73bd16,11-0006250,f87df6a0-9fb7-4f38-b200-8aa819d5b992,f87df6a0-9fb7-4f38-b200-8aa819d5b992,scheduled,2025-10-22,,pending,0,일정 추가됨,,,,2025-10-22 08:36:31.18286+00,2025-10-22 08:36:31.18286+00
08fa0b44-055b-4fe9-87f0-3a30921640fa,11-0001033,f87df6a0-9fb7-4f38-b200-8aa819d5b992,f87df6a0-9fb7-4f38-b200-8aa819d5b992,scheduled,2025-10-22,,pending,0,일정 추가됨,,,,2025-10-22 08:36:31.18286+00,2025-10-22 08:36:31.18286+00
09ac333a-1fb0-406d-b45b-34cdd76a0696,11-0003510,f87df6a0-9fb7-4f38-b200-8aa819d5b992,f87df6a0-9fb7-4f38-b200-8aa819d5b992,scheduled,2025-10-22,,pending,0,일정 추가됨,,,,2025-10-22 08:36:31.18286+00,2025-10-22 08:36:31.18286+00
09c7d4e1-a2b3-4a1d-a192-67c864ce1f68,11-0001230,f87df6a0-9fb7-4f38-b200-8aa819d5b992,f87df6a0-9fb7-4f38-b200-8aa819d5b992,scheduled,2025-10-22,,pending,0,일정 추가됨,,,,2025-10-22 08:36:31.18286+00,2025-10-22 08:36:31.18286+00
0c63055f-1d1a-4f5e-90d5-a22e9dbbffa4,11-0001171,f87df6a0-9fb7-4f38-b200-8aa819d5b992,f87df6a0-9fb7-4f38-b200-8aa819d5b992,scheduled,2025-10-22,,pending,0,일정 추가됨,,,,2025-10-22 08:36:31.18286+00,2025-10-22 08:36:31.18286+00
0f5030a9-8bcb-4710-b44d-94f4368e1947,11-0001194,f87df6a0-9fb7-4f38-b200-8aa819d5b992,f87df6a0-9fb7-4f38-b200-8aa819d5b992,scheduled,2025-10-22,,pending,0,일정 추가됨,,,,2025-10-22 08:36:31.18286+00,2025-10-22 08:36:31.18286+00
132fb8b9-cd82-4ecb-9709-38287d98e576,11-0003519,f87df6a0-9fb7-4f38-b200-8aa819d5b992,f87df6a0-9fb7-4f38-b200-8aa819d5b992,scheduled,2025-10-22,,pending,0,일정 추가됨,,,,2025-10-22 08:36:31.18286+00,2025-10-22 08:36:31.18286+00
14412404-8e3d-413e-94b4-bf3d92e8206b,11-0007035,f87df6a0-9fb7-4f38-b200-8aa819d5b992,f87df6a0-9fb7-4f38-b200-8aa819d5b992,scheduled,2025-10-22,,pending,0,일정 추가됨,,,,2025-10-22 08:36:31.18286+00,2025-10-22 08:36:31.18286+00
1b4638bb-687c-4cc3-8ea0-c29d96e6688c,11-0000181,f87df6a0-9fb7-4f38-b200-8aa819d5b992,f87df6a0-9fb7-4f38-b200-8aa819d5b992,scheduled,2025-10-22,,pending,0,일정 추가됨,,,,2025-10-22 08:36:31.18286+00,2025-10-22 08:36:31.18286+00
1b761959-6a4d-4aea-9e4a-eef6b49cb699,11-0004612,f87df6a0-9fb7-4f38-b200-8aa819d5b992,f87df6a0-9fb7-4f38-b200-8aa819d5b992,scheduled,2025-10-22,,pending,0,일정 추가됨,,,,2025-10-22 08:36:31.18286+00,2025-10-22 08:36:31.18286+00
