id,aed_data_id,equipment_serial,inspector_id,inspection_date,inspection_type,visual_status,battery_status,pad_status,operation_status,overall_status,notes,issues_found,photos,inspection_latitude,inspection_longitude,issues,original_data,registered_data,inspected_data,created_at,updated_at,completed_at
0c51f6cd-7d17-400c-9927-936880759c9b,54910,11-0010656,81744fcf-8edb-4bcb-9783-11e8e594c6a3,2025-10-21,regular,not_checked,not_checked,not_checked,operational,completed,,[],[],35.86969869,128.60351715,,,,,2025-10-21 12:44:35.732491+00,2025-10-21 12:44:35.732491+00,
18dc5c68-798e-4885-bb34-beda6447ffe4,55570,11-0020515,81744fcf-8edb-4bcb-9783-11e8e594c6a3,2025-10-22,regular,not_checked,not_checked,not_checked,operational,completed,,[],[],37.56088895,126.79917069,,,,,2025-10-22 19:41:10.492157+00,2025-10-22 19:41:10.492157+00,
1ba655a8-2c38-4d98-b66c-b003b30e62cb,76101,16-0000329,7a7164d6-87d7-4473-a184-44118f1625bb,2025-10-22,special,,,,,pending,,,,,,,,,,2025-10-22 01:00:07.035723+00,2025-10-22 01:00:07.035723+00,
241f0da3-de26-4864-b092-1fea90ed49c2,39833,12-0000016,a2f57675-28bf-48c7-a237-04a6c355bf45,2025-10-22,special,,,,,pending,,,,,,,,,,2025-10-22 00:26:17.329643+00,2025-10-22 00:26:17.329643+00,
330ca582-67b5-4b77-ba11-c6cec19efbd8,76075,16-0000143,7a7164d6-87d7-4473-a184-44118f1625bb,2025-10-22,regular,not_checked,not_checked,not_checked,operational,completed,,[],[],36.35430618,127.37335597,,,,,2025-10-22 00:52:53.611282+00,2025-10-22 00:52:53.611282+00,
52dd0513-5d43-48d1-a382-dbee134c05d9,76075,16-0000143,7a7164d6-87d7-4473-a184-44118f1625bb,2025-10-22,special,,,,,pending,,,,,,,,,,2025-10-22 01:02:45.431403+00,2025-10-22 01:02:45.431403+00,
8755bee7-5727-4fda-a419-3ffe093abeaf,54910,11-0010656,81744fcf-8edb-4bcb-9783-11e8e594c6a3,2025-10-22,special,,,,,pending,,,,,,,,,,2025-10-22 19:42:02.512026+00,2025-10-22 19:42:02.512026+00,
a4770b6a-047b-412a-888b-4fe4a3eaa706,76076,16-0000075,7a7164d6-87d7-4473-a184-44118f1625bb,2025-10-22,special,,,,,pending,,,,,,,,,,2025-10-22 01:07:58.181037+00,2025-10-22 01:07:58.181037+00,
c250ca52-3675-4a85-b74d-d100680fb6fd,76075,16-0000143,7a7164d6-87d7-4473-a184-44118f1625bb,2025-10-22,special,,,,,pending,,,,,,,,,,2025-10-22 01:03:10.444634+00,2025-10-22 01:03:10.444634+00,
c5fab17d-6b33-466c-b537-10cb8d4ff43d,76098,16-0000308,7a7164d6-87d7-4473-a184-44118f1625bb,2025-10-22,special,,,,,pending,,,,,,,,,,2025-10-22 00:58:25.044583+00,2025-10-22 00:58:25.044583+00,
d0ccd5f9-4df4-4b75-b7b4-2382676922c3,39834,12-0000110,a2f57675-28bf-48c7-a237-04a6c355bf45,2025-10-22,regular,not_checked,not_checked,not_checked,operational,completed,,[],[],35.08958877,128.97827163,,,,,2025-10-22 00:24:54.641465+00,2025-10-22 00:24:54.641465+00,
d9df3726-f226-4766-bf2b-461df69ffffe,76076,16-0000075,7a7164d6-87d7-4473-a184-44118f1625bb,2025-10-22,regular,not_checked,not_checked,not_checked,operational,completed,,[],[],36.44013426,127.38390160,,,,,2025-10-22 01:05:50.898261+00,2025-10-22 01:05:50.898261+00,
e7bb76b0-0c4e-4fb7-943d-c3bf4f2d75b1,76098,16-0000308,7a7164d6-87d7-4473-a184-44118f1625bb,2025-10-22,regular,not_checked,not_checked,not_checked,operational,completed,,[],[],36.33595502,127.41008044,,,,,2025-10-22 01:00:00.301398+00,2025-10-22 01:00:00.301398+00,
